Day,SPEND,impressions
1-sept,"$2.049,43",322.237
2-sept,"$2.010,67",316.142
3-sept,"$2.098,19",329.904
4-sept,"$1.979,07",311.175
5-sept,"$2.013,83",316.640
6-sept,"$2.069,40",325.377
7-sept,"$2.027,15",318.734
8-sept,"$2.075,87",326.395
9-sept,"$2.018,91",317.438
10-sept,"$2.044,39",321.445
11-sept,"$1.912,42",300.694
12-sept,"$1.948,90",306.430
13-sept,"$1.961,21",308.367
14-sept,"$1.919,22",301.764
15-sept,"$1.949,88",306.584
16-sept,"$1.923,47",302.432
17-sept,"$1.958,93",308.007
18-sept,"$2.030,59",319.275
19-sept,"$1.976,33",310.743
20-sept,"$1.977,40",310.912
21-sept,"$1.945,21",305.850
22-sept,"$1.956,73",307.661
23-sept,"$2.090,89",328.756
24-sept,"$2.033,07",319.664
25-sept,"$2.025,27",318.439
26-sept,"$1.937,52",304.642
27-sept,"$2.049,31",322.218
28-sept,"$1.935,97",304.398
29-sept,"$1.979,26",311.204
30-sept,"$2.101,48",330.421
1-oct,"$1.994,74",292.786
2-oct,"$1.859,71",273.222
3-oct,"$1.925,24",282.707
4-oct,"$1.877,22",275.524
5-oct,"$2.008,82",294.848
6-oct,"$1.981,48",290.955
7-oct,"$1.897,28",278.443
8-oct,"$1.967,54",288.901
9-oct,"$1.902,13",279.154
10-oct,"$1.973,56",289.789
11-oct,"$1.904,21",279.462
12-oct,"$1.949,37",286.284
13-oct,"$1.893,49",278.100
14-oct,"$2.020,64",296.594
15-oct,"$1.930,92",283.543
16-oct,"$1.875,49",275.270
17-oct,"$2.019,13",296.373
18-oct,"$1.916,64",281.435
19-oct,"$1.877,93",275.628
20-oct,"$1.937,02",284.371
21-oct,"$1.909,45",280.233
22-oct,"$1.956,14",287.273
23-oct,"$1.900,34",278.891
24-oct,"$1.984,56",291.409
25-oct,"$1.866,75",273.954
26-oct,"$1.979,42",290.653
27-oct,"$1.893,86",278.154
28-oct,"$1.966,12",288.692
29-oct,"$1.904,78",279.546
30-oct,"$1.979,87",290.718
31-oct,"$1.934,56",283.989
1-nov,"$2.073,65",322.571
2-nov,"$1.898,56",295.280
3-nov,"$2.015,42",313.408
4-nov,"$1.956,18",304.182
5-nov,"$2.087,98",324.796
6-nov,"$1.980,36",307.986
7-nov,"$1.911,41",297.275
8-nov,"$2.041,72",317.404
9-nov,"$1.918,47",298.364
10-nov,"$2.036,36",316.565
11-nov,"$1.940,82",301.661
12-nov,"$2.004,95",311.782
13-nov,"$1.896,92",295.025
14-nov,"$2.085,43",324.395
15-nov,"$1.977,06",307.471
16-nov,"$1.934,11",300.611
17-nov,"$2.054,42",319.386
18-nov,"$1.903,66",295.807
19-nov,"$2.032,55",315.974
20-nov,"$1.923,98",299.222
21-nov,"$1.999,18",310.883
22-nov,"$2.065,77",321.037
23-nov,"$1.900,42",295.329
24-nov,"$2.022,63",314.521
25-nov,"$1.942,76",301.964
26-nov,"$2.070,84",322.132
27-nov,"$1.917,25",298.174
28-nov,"$2.058,35",320.001
29-nov,"$1.980,69",308.037
30-nov,"$2.044,34",317.813
1-dic,"$1.999,96",317.428
2-dic,"$1.815,21",288.065
3-dic,"$1.987,06",315.379
4-dic,"$1.847,15",293.122
5-dic,"$2.002,94",317.908
6-dic,"$1.872,67",293.931
7-dic,"$1.823,89",289.491
8-dic,"$1.972,56",313.060
9-dic,"$1.837,89",291.668
10-dic,"$1.956,14",310.358
11-dic,"$1.852,74",293.909
12-dic,"$1.917,37",304.406
13-dic,"$1.808,12",286.936
14-dic,"$1.999,38",317.334
15-dic,"$1.873,69",297.443
16-dic,"$1.853,11",293.968
17-dic,"$1.950,36",309.494
18-dic,"$1.836,88",291.515
19-dic,"$1.914,56",304.022
20-dic,"$1.819,94",288.874
21-dic,"$1.896,22",301.037
22-dic,"$1.969,64",312.596
23-dic,"$1.826,37",289.892
24-dic,"$1.939,56",307.838
25-dic,"$1.850,92",293.621
26-dic,"$1.997,45",316.873
27-dic,"$1.829,44",290.387
28-dic,"$1.962,72",311.493
29-dic,"$1.872,11",296.625
30-dic,"$1.942,32",308.264
1-ene,"$1.519,78",238031
2-ene,"$1.903,88",307690
3-ene,"$2.064,64",332554
4-ene,"$1.908,43",299821
5-ene,"$1.960,32",307197
6-ene,"$1.792,20",276933
7-ene,"$1.900,70",302720
8-ene,"$1.902,81",288033
9-ene,"$1.822,55",289430
10-ene,"$1.970,03",312359
11-ene,"$1.952,95",294088
12-ene,"$1.970,62",312106
13-ene,"$1.769,79",284008
14-ene,"$1.872,12",291980
15-ene,"$1.817,66",285801
16-ene,"$1.929,40",300660
17-ene,"$1.930,25",292623
18-ene,"$1.939,64",311043
19-ene,"$1.922,26",296735
20-ene,"$1.700,64",277632
21-ene,"$1.917,27",298280
22-ene,"$1.890,11",291564
23-ene,"$1.871,58",296166
24-ene,"$1.991,24",303953
25-ene,"$1.864,76",298518
26-ene,"$1.959,64",310116
27-ene,"$1.904,94",291660
28-ene,"$1.787,84",273293
29-ene,"$1.881,32",298458
30-ene,"$1.722,73",267563
31-ene,"$1.701,28",237125